Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
4,124,209.374,79.463,0,3.033,1.530,2.838,5.750,12.447,0.024
4,125,206.517,87.480,0,1.458,1.225,1.889,3.185,5.782,0.015
5,0,165.291,102.491,0,1.826,1.279,2.038,3.544,6.605,0.019
5,1,165.364,105.705,0,1.771,1.307,2.119,3.744,7.072,0.027
5,2,165.509,108.920,0,1.745,1.309,2.128,3.772,7.146,0.032
5,3,165.626,112.187,0,1.709,1.307,2.119,3.743,7.068,0.017
5,4,165.635,115.327,0,1.728,1.287,2.060,3.598,6.730,0.014
5,5,165.609,118.711,0,1.592,1.265,1.997,3.441,6.361,0.016
5,6,165.685,121.802,0,1.660,1.290,2.077,3.662,6.940,0.014
5,7,165.859,125.013,0,1.860,1.358,2.312,4.339,8.793,0.021
5,8,165.735,127.907,0,1.701,1.321,2.183,3.954,7.705,0.017
5,9,165.772,130.752,0,1.558,1.272,2.027,3.543,6.670,0.018
5,10,165.739,132.991,0,1.377,1.288,2.085,3.697,7.046,0.021
5,11,165.919,134.774,0,1.415,1.261,2.015,3.548,6.772,0.022
5,12,166.112,135.849,0,1.512,1.305,2.158,3.943,7.817,0.016
5,13,166.047,136.871,0,1.539,1.349,2.317,4.445,9.324,0.008
5,14,166.191,137.622,0,1.400,1.225,1.894,3.210,5.876,0.021
5,15,166.278,137.945,0,1.623,1.295,2.102,3.723,7.055,0.018
5,16,166.351,137.312,0,1.570,1.225,1.883,3.165,5.728,0.016
5,17,166.474,135.981,0,1.500,1.271,2.031,3.549,6.650,0.018
5,18,166.479,133.981,0,1.398,1.287,2.073,3.644,6.860,0.013
5,19,166.544,131.779,0,1.407,1.255,1.973,3.389,6.257,0.013
5,20,166.708,129.448,0,1.295,1.220,1.869,3.127,5.636,0.024
5,21,167.028,127.068,0,1.425,1.329,2.232,4.158,8.416,0.017
5,22,167.199,124.767,0,1.755,1.296,2.101,3.729,7.118,0.017
5,23,167.173,122.809,0,1.915,1.320,2.166,3.883,7.460,0.022
5,24,167.223,121.012,0,1.912,1.383,2.383,4.521,9.251,0.011
5,25,167.249,119.659,0,2.065,1.285,2.070,3.665,7.014,0.012
5,26,167.269,118.398,0,1.887,1.307,2.141,3.868,7.580,0.013
5,27,167.194,117.155,0,1.907,1.333,2.224,4.090,8.137,0.014
5,28,167.091,116.103,0,1.837,1.376,2.371,4.520,9.339,0.009
5,29,166.937,115.149,0,1.874,1.349,2.298,4.345,8.945,0.013
5,30,166.697,114.229,0,1.982,1.313,2.158,3.904,7.639,0.017
5,31,166.709,113.340,0,1.980,1.314,2.154,3.878,7.528,0.024
5,32,166.635,112.598,0,2.033,1.302,2.123,3.808,7.393,0.026
5,33,166.756,111.794,0,2.053,1.324,2.199,4.026,7.973,0.025
5,34,166.787,110.976,0,2.030,1.377,2.369,4.489,9.181,0.015
5,35,166.877,110.133,0,1.963,1.341,2.252,4.168,8.339,0.019
5,36,166.898,109.351,0,1.816,1.309,2.155,3.917,7.724,0.026
5,37,166.900,108.526,0,1.899,1.289,2.101,3.797,7.496,0.025
5,38,166.739,107.614,0,1.888,1.275,2.045,3.614,6.929,0.013
5,39,166.853,106.784,0,1.818,1.309,2.152,3.899,7.653,0.020
5,40,166.909,105.717,0,1.746,1.299,2.128,3.857,7.612,0.012
5,41,166.978,104.688,0,1.913,1.302,2.158,3.989,8.088,0.025
5,42,167.139,103.682,0,1.879,1.324,2.204,4.067,8.170,0.024
5,43,167.162,102.616,0,1.918,1.313,2.167,3.955,7.843,0.013
5,44,167.310,101.342,0,1.879,1.289,2.073,3.649,6.911,0.014
5,45,167.403,100.171,0,1.811,1.308,2.127,3.778,7.181,0.015
5,46,167.489,99.063,0,1.818,1.325,2.184,3.935,7.595,0.021
5,47,167.531,97.789,0,1.702,1.289,2.072,3.635,6.830,0.018
5,48,167.584,96.489,0,1.815,1.257,1.980,3.414,6.341,0.012
5,49,167.752,95.378,0,1.950,1.308,2.151,3.911,7.731,0.018
5,50,167.771,94.229,0,1.866,1.342,2.254,4.177,8.384,0.019
5,51,167.725,93.081,0,1.833,1.353,2.274,4.182,8.250,0.021
5,52,167.863,92.054,0,1.962,1.393,2.418,4.626,9.559,0.013
5,53,167.822,90.989,0,1.967,1.390,2.425,4.683,9.800,0.014
5,54,167.779,90.117,0,1.912,1.362,2.310,4.307,8.658,0.018
5,55,167.739,89.189,0,1.966,1.310,2.153,3.890,7.588,0.024
5,56,167.758,88.332,0,1.980,1.299,2.112,3.776,7.297,0.021
5,57,167.611,87.483,0,1.855,1.276,2.031,3.536,6.614,0.013
5,58,167.462,86.597,0,1.885,1.281,2.044,3.559,6.644,0.013
5,59,167.357,85.741,0,1.994,1.280,2.046,3.572,6.681,0.012
5,60,167.335,84.880,0,1.868,1.313,2.142,3.810,7.240,0.023
5,61,167.187,84.033,0,2.020,1.364,2.327,4.370,8.855,0.019
5,62,167.270,83.110,0,1.798,1.305,2.133,3.833,7.430,0.016
5,63,167.089,82.182,0,1.759,1.321,2.195,4.033,8.051,0.020
5,64,167.149,81.197,0,1.751,1.327,2.213,4.078,8.151,0.019
5,65,167.152,80.273,0,1.876,1.287,2.084,3.725,7.226,0.019
5,66,167.306,79.266,0,1.781,1.296,2.098,3.728,7.138,0.017
5,67,167.245,78.275,0,1.783,1.284,2.059,3.614,6.820,0.016
5,68,167.219,77.245,0,1.715,1.287,2.080,3.697,7.105,0.018
5,69,167.339,76.117,0,1.790,1.289,2.078,3.672,6.975,0.015
5,70,167.465,75.173,0,1.956,1.297,2.092,3.681,6.931,0.022
5,71,167.392,74.091,0,1.729,1.285,2.067,3.647,6.923,0.016
5,72,167.333,72.994,0,1.912,1.346,2.264,4.183,8.321,0.018
5,73,167.368,72.073,0,1.870,1.306,2.130,3.804,7.293,0.022
5,74,167.280,71.076,0,1.960,1.309,2.141,3.837,7.391,0.019
5,75,167.279,70.080,0,1.834,1.345,2.256,4.156,8.246,0.018
5,76,167.320,69.149,0,1.928,1.287,2.069,3.634,6.845,0.023
5,77,167.288,68.093,0,1.928,1.306,2.133,3.814,7.334,0.023
5,78,167.259,67.215,0,1.811,1.280,2.051,3.597,6.788,0.010
5,79,167.305,66.246,0,1.774,1.269,2.011,3.481,6.467,0.012
5,80,167.256,65.278,0,1.816,1.278,2.038,3.551,6.643,0.018
5,81,167.268,64.329,0,1.918,1.253,1.965,3.369,6.205,0.017
5,82,167.271,63.487,0,1.974,1.268,2.020,3.545,6.742,0.014
5,83,167.376,62.578,0,1.955,1.265,2.000,3.461,6.438,0.010
5,84,167.354,61.599,0,1.782,1.254,1.970,3.381,6.237,0.018
5,85,167.369,60.704,0,1.702,1.266,2.008,3.478,6.466,0.017
5,86,167.449,59.804,0,1.957,1.293,2.084,3.667,6.904,0.016
5,87,167.502,58.832,0,1.949,1.302,2.115,3.749,7.112,0.011
5,88,167.534,57.901,0,1.908,1.315,2.155,3.855,7.380,0.021
5,89,167.562,57.075,0,1.899,1.316,2.154,3.841,7.315,0.013
5,90,167.584,56.060,0,1.961,1.324,2.174,3.888,7.417,0.016
5,91,167.660,55.112,0,1.984,1.312,2.140,3.808,7.252,0.016
5,92,167.658,54.253,0,1.848,1.258,1.981,3.410,6.303,0.019
5,93,167.657,53.289,0,1.747,1.246,1.947,3.329,6.121,0.013
5,94,167.656,52.488,0,1.808,1.244,1.940,3.304,6.049,0.019
5,95,167.467,51.457,0,1.834,1.244,1.938,3.301,6.046,0.015
5,96,167.430,50.558,0,1.889,1.243,1.937,3.299,6.044,0.007
5,97,167.336,49.661,0,1.901,1.266,2.003,3.463,6.423,0.010
5,98,167.216,48.791,0,2.075,1.337,2.236,4.115,8.177,0.022
5,99,167.310,47.858,0,1.961,1.299,2.109,3.736,7.078,0.018
5,100,167.188,47.079,0,1.823,1.336,2.240,4.141,8.285,0.021
5,101,167.107,46.134,0,1.857,1.337,2.248,4.176,8.413,0.020
5,102,167.123,45.224,0,1.726,1.290,2.102,3.789,7.430,0.017
5,103,167.059,44.417,0,1.844,1.284,2.078,3.723,7.261,0.025
5,104,167.082,43.605,0,1.992,1.311,2.173,4.004,8.074,0.031
